kp_scale,wind_scale,scenario,samples,duration_s,final_position_error_m,steady_state_error_m,rms_position_error_m,maximum_position_error_m,arrival_time_s,maximum_altitude_overshoot_m,path_length_m,maximum_speed_mps,maximum_tilt_deg,rpm_min,rpm_max,rpm_saturation_ratio,mission_status,planner_status,fault_status,maximum_disturbance_force_n,disturbance_peak_error_m,disturbance_recovery_time_s,minimum_obstacle_clearance_m,required_obstacle_clearance_m,planned_path_length_m,maximum_local_point_count,mean_local_point_count,sensor_position_noise_mean_m,sensor_position_noise_stddev_m,sensor_position_noise_rms_m
0.8,0.75,wind_gust,757,10.992134057000001,0.07443389541678745,0.16954022215187967,0.8229090734600095,1.89201546610511,2.624072962,0.045307716053267555,21.452016637905793,1.680864383966565,17.228153377371758,0.0,13619.517635224163,0.0,not_applicable,not_applicable,"{""active"": false, ""dropped"": 0, ""elapsed"": 11.000181, ""enabled"": false, ""mode"": ""none"", ""modified"": 0, ""queued"": 0, ""received"": 992, ""target_motor"": 0}",2.5279685520195856,1.8035525274955797,1.6310257259999998,,0.3,,0,0.0,"[0.0001706496130941887, 7.375493622811707e-05, -0.0003713436096916182]","[0.010056761786328009, 0.009885429147029594, 0.015033983148034879]",0.011903126669084505
0.8,1.0,wind_gust,757,10.997377042,0.2594079963096825,0.3905763274070272,1.342653052401912,3.101242845999729,2.604716085,0.04629619087336456,22.44595830022106,2.32349852161944,17.19730427889144,0.0,13579.696414180931,0.0,not_applicable,not_applicable,"{""active"": false, ""dropped"": 0, ""elapsed"": 11.000104, ""enabled"": false, ""mode"": ""none"", ""modified"": 0, ""queued"": 0, ""received"": 937, ""target_motor"": 0}",3.0413812651491097,2.6813094667983033,4.190535457999999,,0.3,,0,0.0,"[0.00014109424559697475, 7.676931041503169e-05, -0.00037641385462299594]","[0.010043818748127079, 0.009881411099174661, 0.01502913185862476]",0.011896258141157455
0.8,1.25,wind_gust,747,10.985591208,0.2226712962865895,0.47553817573819607,2.071950427858713,4.613276397136624,2.2861825430000002,0.04497174750128452,24.109654732255365,3.0166342212528403,17.24488101836965,0.0,13593.476078666356,0.0,not_applicable,not_applicable,"{""active"": false, ""dropped"": 0, ""elapsed"": 11.00028, ""enabled"": false, ""mode"": ""none"", ""modified"": 0, ""queued"": 0, ""received"": 993, ""target_motor"": 0}",3.555365663331973,3.591193880735496,4.445938237000001,,0.3,,0,0.0,"[0.0001866667509674584, 0.0001581303855009126, -0.0006836731395317789]","[0.010010584974907637, 0.009833786758480616, 0.015120007008795512]",0.011917173100944051
1.0,0.75,wind_gust,745,10.992845990000001,0.06379508849148877,0.1336713123922964,0.7823921840651942,1.865426713800959,1.968074885,0.045671718036565556,21.434268776018122,1.900737663195141,17.257038258129022,0.0,13720.074170639102,0.0,not_applicable,not_applicable,"{""active"": false, ""dropped"": 0, ""elapsed"": 11.00023, ""enabled"": false, ""mode"": ""none"", ""modified"": 0, ""queued"": 0, ""received"": 1027, ""target_motor"": 0}",2.5279685520195856,1.7778691709573862,1.415931035999999,,0.3,,0,0.0,"[0.0001494177241434857, 4.128659393914821e-05, -0.0003523435209401587]","[0.010069901875629153, 0.009890002135995049, 0.015071022616825866]",0.011923351946880524
1.0,1.0,wind_gust,718,10.994270497,0.22026170024938782,0.20269718538670872,1.342509601142452,3.1340023290940495,1.973355524,0.03973763075494796,21.997240746273,2.631475314147256,17.305163000773998,0.0,13720.074239534504,0.0,not_applicable,not_applicable,"{""active"": false, ""dropped"": 0, ""elapsed"": 11.0003, ""enabled"": false, ""mode"": ""none"", ""modified"": 0, ""queued"": 0, ""received"": 986, ""target_motor"": 0}",3.0413812651491097,2.6869490626773747,2.110188696,,0.3,,0,0.0,"[0.00017278751413448508, 0.00017008300637604107, -0.00024266485544632643]","[0.01005147601051853, 0.009859937593653504, 0.015134818822761848]",0.011936372287044401
1.0,1.25,wind_gust,759,10.987026411,0.09089416676866034,0.42021719860457185,2.0311509688641505,4.604740885213378,1.9397446960000002,0.04569358746553065,24.98104217190361,3.341526077799139,17.307506553086636,0.0,13718.803753780794,0.0,not_applicable,not_applicable,"{""active"": false, ""dropped"": 0, ""elapsed"": 11.000171, ""enabled"": false, ""mode"": ""none"", ""modified"": 0, ""queued"": 0, ""received"": 1024, ""target_motor"": 0}",3.555365663331973,3.5671417900045803,2.7670666209999997,,0.3,,0,0.0,"[0.00014570278922783453, 5.886004433887206e-05, -0.00039409515986880896]","[0.010035189114092423, 0.009869544992296258, 0.015015231481716405]",0.011884866009099238
1.2,0.75,wind_gust,746,10.99918965,0.17683412302435902,0.14647195241115818,0.7727339338758864,1.8494673613931114,1.871256717,0.04307047601453906,21.728318428327277,2.0617450054105584,17.234833950759544,0.0,13742.757659174475,0.0,not_applicable,not_applicable,"{""active"": false, ""dropped"": 0, ""elapsed"": 11.000181, ""enabled"": false, ""mode"": ""none"", ""modified"": 0, ""queued"": 0, ""received"": 1027, ""target_motor"": 0}",2.5279685520195856,1.7514880028872017,1.3295303789999995,,0.3,,0,0.0,"[0.0001442989979344966, 4.371279484665923e-05, -0.0003608070271077469]","[0.010064047060823507, 0.009883583162662673, 0.015064715221891544]",0.011917337773351886
1.2,1.0,wind_gust,745,10.994501847,0.1769995701568723,0.3702184221219467,1.311623278649431,3.0695080682274165,2.190033682,0.04548911952478618,23.103374310376783,2.8272716057587837,17.302911009594578,0.0,13743.784026233045,0.0,not_applicable,not_applicable,"{""active"": false, ""dropped"": 0, ""elapsed"": 11.000155, ""enabled"": false, ""mode"": ""none"", ""modified"": 0, ""queued"": 0, ""received"": 993, ""target_motor"": 0}",3.0413812651491097,2.6680620464073406,1.9791705020000006,,0.3,,0,0.0,"[0.0001494177241434873, 4.128659393914837e-05, -0.0003523435209401587]","[0.010069901875629159, 0.009890002135995052, 0.015071022616825866]",0.011923351946880526
1.2,1.25,wind_gust,749,10.995451149,0.5296541106130398,0.8177047066245534,2.0896006549132355,4.582132969971302,2.1601450150000003,0.043413507491867565,25.262502156158384,3.6046970058353582,17.3259454228824,0.0,13744.971304764458,0.0,not_applicable,not_applicable,"{""active"": false, ""dropped"": 0, ""elapsed"": 11.000185, ""enabled"": false, ""mode"": ""none"", ""modified"": 0, ""queued"": 0, ""received"": 994, ""target_motor"": 0}",3.555365663331973,3.5973079850606826,2.6255505880000003,,0.3,,0,0.0,"[0.0001439092122594673, 3.7926051997293314e-05, -0.0003508479815699302]","[0.010054894402295867, 0.009865185640027007, 0.015063885361839313]",0.01190922155168167
