time,x,y,z
1.7968962810000448,0.0,0.0,1.5
2.8069002769998406,0.0005633670318380625,0.0003004623957888577,1.5
2.8278958020000573,0.020387620226845447,0.010872393056227276,1.5
2.8488863899992793,0.04026060749366823,0.02146458819322902,1.5
2.869887548999941,0.060080284669604814,0.032017105271540225,1.5
2.891061276999608,0.07991294703383768,0.04255971183692481,1.5
2.9120561989993803,0.09972760377011355,0.05307037251832288,1.5
2.9330045839997183,0.11950039539315285,0.06353096961249677,1.5
2.954334473000017,0.13928151231264607,0.07396254657769445,1.5
2.975237984999694,0.1590361909085165,0.08434122269824516,1.5
2.9962814979999166,0.17875630553167937,0.09465730412243875,1.5
3.0171993730000395,0.1984449119298055,0.10490699495013256,1.5
3.038462513000013,0.21809335031961571,0.11508042885691218,1.5
3.059490075999747,0.2377382937861937,0.12519111276830136,1.5
3.080467003999729,0.2572932872637576,0.13518931632183012,1.5
3.1015248409994456,0.27681523878690517,0.14509907020043583,1.5
3.122816325999338,0.2963039536031001,0.15491491930615905,1.5
3.1436579759993037,0.3157059600811054,0.16460490828656532,1.5
3.164750835999257,0.3350976262129364,0.17420201415329986,1.5
3.186092354999346,0.3544235954348536,0.18367354071017447,1.5
3.206868029999896,0.3736715724468666,0.1930086553211072,1.5
3.2278970799998206,0.39284814358174835,0.20220582259916753,1.5
3.2496093149993612,0.4119821214778979,0.21127386045010166,1.5
3.2700232099996356,0.43103830279289557,0.22019114458631564,1.5
3.291146040000058,0.4499843543246308,0.22893823553931836,1.5
3.312177156999496,0.46888448891134027,0.23754019782679578,1.5
3.3331193789999816,0.487690271225495,0.24597027252536824,1.5
3.3542777160000696,0.5064136617265184,0.25422948986514726,1.5
3.375284654999632,0.525049821093223,0.2623113312677259,1.5
3.396662883999852,0.5436067005407679,0.2702148368993186,1.5
3.4174781769997935,0.5620505997521709,0.2779215661744093,1.5
3.4385794549998536,0.5804097339230988,0.28543930647987603,1.5
3.4595353209997484,0.5986096500152821,0.29273420249195853,1.5
3.480596133999825,0.6168011812244614,0.29986234985832205,1.5
3.5016111539998747,0.6348298078923169,0.3067589075770807,1.5
3.522740048999367,0.6527894696831895,0.3134563424562648,1.5
3.5437449949995425,0.6705512217962879,0.3199036773662184,1.5
3.564838846999919,0.6882578814954232,0.32614967734293415,1.5
3.5858920749997196,0.7058360642867303,0.3321643432562227,1.5
3.6070785519996207,0.7232916613291367,0.33794663819031545,1.5
3.6279990579996593,0.7406121604563087,0.3434895041175307,1.5
3.649080948000119,0.7577943546424637,0.34878929932462827,1.5
3.6702564429997437,0.774896768961872,0.3538604993535629,1.5
3.691466980999394,0.7918092050850412,0.35866779563624884,1.5
3.7123763489998964,0.808582571808828,0.3632241471687403,1.5
3.733607096999549,0.8252178222694424,0.36752737359410836,1.5
3.7545514260000346,0.8417401239494442,0.37158103401614684,1.5
3.775748576999831,0.8581042689987703,0.3753714840584864,1.5
3.7967043749995355,0.8743050592315884,0.3788960179242127,1.5
3.8175098519996027,0.8903224221756431,0.38214935780579784,1.5
3.8385949690000416,0.9062135473580928,0.38514143610119783,1.5
3.859924155999579,0.9219541390713474,0.3878652689486735,1.5
3.8809039319994554,0.9375385681888588,0.39031813825833,1.5
3.901827967999452,0.9529458469476548,0.3924956343346623,1.5
3.9229077579993827,0.9681780669563347,0.39439742909004094,1.5
3.944058710999343,0.9832616360620403,0.39602550459862956,1.5
3.965067569999519,0.9981663783090076,0.3973753861985455,1.5
3.985965412999576,1.0128785948851224,0.3984457717892607,1.5
4.007051521999529,1.0274264298295788,0.3992382821020366,1.5
