time,x,y,z,vx_body,vy_body,vz_body,roll,pitch,yaw,ref_x,ref_y,ref_z,position_error,rpm_0,rpm_1,rpm_2,rpm_3,disturbance_fx,disturbance_fy,disturbance_fz,disturbance_tx,disturbance_ty,disturbance_tz,obstacle_clearance,local_point_count,position_noise_x,position_noise_y,position_noise_z
0.013253821000034804,0.022869423907860176,-0.013025409554829408,0.04756553922178394,-0.06829034090617672,0.11195443166182427,-0.060770722378587314,-0.0038911155255031216,0.0007022956997086363,0.0030425238598548454,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,nan,nan,nan
0.014089186000092013,0.02138018274389351,-0.05459136515434765,0.06594096624292876,-0.004599385465608725,0.05732799455694917,0.11784609640600789,-0.0016859247971733643,-0.0006188398534219528,0.00118552265097561,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0.02138018274389351,-0.05459136515434765,0.06594096624292876
0.017938670000148704,0.006042668580427573,-0.009838766367502009,-0.00587738691418579,-0.10966717646680962,0.03511442902491314,-0.055204306917345146,0.001284908491500936,0.002178305712384331,-0.006975638533647092,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0.006042668580427573,-0.009838766367502009,-0.00587738691418579
0.028517077000287827,-0.013840600484338404,-0.029637075841570056,0.08582130917004624,-0.0287928396130427,0.07071279568971654,0.12243292672047118,0.005021438193439261,-0.0009665665699517,0.0032886469408788454,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,-0.013840600484338404,-0.029637075841570056,0.08582130917004624
0.03874577799979306,-0.023178022887339996,-0.023417417524684247,0.006617552785919395,0.01972843963163713,0.012722142331363475,-0.022084269071661798,-0.0015252099642714804,0.00112110640646387,0.004298139265052039,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,-0.023178022887339996,-0.023417417524684247,0.006617552785919395
0.0492716870003278,0.04032242683742901,0.01930283368521446,-0.008988490168328955,-0.0189135981252601,0.0351322621840527,0.017172460851276335,0.00021350129798632884,0.0012237348662921445,-0.005254948472431806,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0.04032242683742901,0.01930283368521446,-0.008988490168328955
0.06014601400056563,-0.008271075729835516,-0.03799663352420982,0.02783765762436949,-0.03026125491735511,0.017248703463001346,-0.13369136301041673,0.0005180156578146738,-0.00043108245817220737,-0.001445878911767117,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,-0.008271075729835516,-0.03799663352420982,0.02783765762436949
0.07048503300029552,-0.020987710919275617,0.022305510226979307,0.031449025040058545,0.016381884888099968,-0.027542889521876845,-0.05149614691491329,0.002203054595554497,0.00046280492808556124,-0.0015504431618344689,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,-0.020987710919275617,0.022305510226979307,0.031449025040058545
0.08110676100022829,0.05107327102496314,0.017752215819490984,0.025985153119357653,0.047686672603953324,0.05172315492774927,-0.05239065809732903,-0.0007279163877938124,0.0025256406846806204,-0.0053359097508263835,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0.05107327102496314,0.017752215819490984,0.025985153119357653
0.09146129000055225,-0.020441575733153562,0.011021046328680067,0.03917573427328058,-0.005000090578114758,-0.013369271221309254,-0.16735332140777795,-0.004183772008099059,2.367331838480911e-05,-0.008461966126733384,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,-0.020441575733153562,0.011021046328680067,0.03917573427328058
0.10200789000009536,-0.020461796789455502,-0.007114430264323406,-0.004832207393824481,0.03597101043899595,0.03171512169304214,-0.1404127779792028,-0.003324230423854643,-0.0006697001685526706,0.0009043984780049242,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,-0.020461796789455502,-0.007114430264323406,-0.004832207393824481
0.11215871500007779,0.002066983912655893,-0.0007141791294247846,0.05065257576494642,0.05324022892528254,0.07882038681746772,-0.15687181700876204,0.0017715067282928786,-0.00032410473231839155,-0.004613889286594927,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0,0.002066983912655893,-0.0007141791294247846,0.05065257576494642
