time,x,y,z
2.508091690000583,0.0,0.0,1.5
5.594493637000596,0.0,0.0,2.25
6.297651431000304,0.25,0.25,2.5
7.399871110999811,1.25,0.25,2.75
8.502693170000384,4.0,0.25,2.75
9.804794613000013,4.25,0.5,2.5
10.896924092000518,4.75,0.75,2.0
12.051792457000374,5.0,0.5,1.5
